"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Study on the Formation and Evolvement Mechanism in the City System","J. Chen; H. Liu; X. Zheng","School of Information Science and Engineering, Shandong Normal University, Jinan, China; School of Information Science and Engineering, Shandong Normal University, Jinan, China; School of Information Science and Engineering, Shandong Normal University, Jinan, China",2008 Fourth International Conference on Natural Computation,"7 Nov 2008","2008","4","","674","679","In this paper we suppose the formation and evolvement mechanism of city system is the site selection of special entities in the city. We construct model to simulate the mechanism based on multi-agent system, the experiment results show that the distribution of a virtual city system can be generated by the mechanism. Further, we prove that the generated distribution of city system is corresponding to that of a real city system by validating with the Zipf law. The work can help to build the virtual city model.","2157-9563","978-0-7695-3304-9","10.1109/ICNC.2008.926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4667369","Virtual City;City Evolvement;Simulation Model;Site Selection","Cities and towns;Computational modeling;Multiagent systems;Fractals;Computer simulation;Cellular networks;Shape;Information science;Information management;Educational institutions","","","","7","IEEE","7 Nov 2008","","","IEEE","IEEE Conferences"
"Digital Twin in the IoT Context: A Survey on Technical Features, Scenarios, and Architectural Models","R. Minerva; G. M. Lee; N. Crespi","CNRS Lab UMR5157, Telecom SudParis, Institut Polytechnique de Paris, Evry, France; Computer Science Department, Liverpool John Moores University, Liverpool, U.K.; CNRS Lab UMR5157, Telecom SudParis, Institut Polytechnique de Paris, Evry, France",Proceedings of the IEEE,"28 Sep 2020","2020","108","10","1785","1824","Digital twin (DT) is an emerging concept that is gaining attention in various industries. It refers to the ability to clone a physical object (PO) into a software counterpart. The softwarized object, termed logical object, reflects all the important properties and characteristics of the original object within a specific application context. To fully determine the expected properties of the DT, this article surveys the state-of-the-art starting from the original definition within the manufacturing industry. It takes into account related proposals emerging in other fields, namely augmented and virtual reality (e.g., avatars), multiagent systems, and virtualization. This survey thereby allows for the identification of an extensive set of DT features that point to the “softwarization” of POs. To properly consolidate a shared DT definition, a set of foundational properties is identified and proposed as a common ground outlining the essential characteristics (must-haves) of a DT. Once the DT definition has been consolidated, its technical and business value is discussed in terms of applicability and opportunities. Four application scenarios illustrate how the DT concept can be used and how some industries are applying it. The scenarios also lead to a generic DT architectural model. This analysis is then complemented by the identification of software architecture models and guidelines in order to present a general functional framework for the DT. This article, eventually, analyses a set of possible evolution paths for the DT considering its possible usage as a major enabler for the softwarization process.","1558-2256","","10.1109/JPROC.2020.2998530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9120192","Artificial intelligence (AI);business models;cyber physical systems (CPSs);digital twin (DT);Internet of Things (IoT);machine learning (ML);multiagent systems;network function virtualization;sensors;servitization;smart city;software architecture;softwarization;virtual and augmented reality","Internet of Things;Cloning;Digital twin;Software engineering;Solid modeling;Software architecture;Manufacturing processing","","514","","293","IEEE","18 Jun 2020","","","IEEE","IEEE Journals"
"Spatial Interaction in a Multiuser Immersive Instrument","G. Wakefield; T. Höllerer; J. Kuchera-Morin; C. Roberts; M. Wright","Korea Advanced Institute for Science and Technology; University of California, Santa Barbara; University of California, Santa Barbara; University of California, Santa Barbara; University of California, Santa Barbara",IEEE Computer Graphics and Applications,"12 Dec 2013","2013","33","6","14","20","The AlloSphere provides multiuser spatial interaction through a curved surround screen and surround sound. Two projects illustrate how researchers employed the AlloSphere to investigate the combined use of personal-device displays and the shared display. Another two projects combined multiuser interaction with multiagent systems. These projects point to directions for future ensemble-style collaborative interaction.","1558-1756","","10.1109/MCG.2013.99","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682950","AlloSphere;multiuser immersive environments;immersive environments;virtual environments;spatial interaction;spatial interfaces;virtual reality;Graph Browser;Cloud Bridge;Allobrain;Time of Doubles;computer graphics;multimedia","Spatial analysis;Virtual reality;Browsers;Computer graphics;Multimedia communication;Cloud computing","","3","","14","IEEE","12 Dec 2013","","","IEEE","IEEE Magazines"
"Scalable HIL Simulator for Multi-Agent Systems Interacting in Physical Environments","Z. Papp; F. den Ouden; B. Netten; A. Zoutendijk","Imaging Systems, TNO Science and Industry, Netherlands; Imaging Systems, TNO Science and Industry, Netherlands; Imaging Systems, TNO Science and Industry, Netherlands; Imaging Systems, TNO Science and Industry, Netherlands",IEEE Workshop on Distributed Intelligent Systems: Collective Intelligence and Its Applications (DIS'06),"26 Jun 2006","2006","","","177","182","Important application domains of multi-agent systems require agent interactions in physical environments (e.g. mobile robotics, intelligent transportation systems, etc.). Sensing and sensory data interpretation play ever increasing role because sensing becomes the primary way of collecting information about the environment. In the most challenging cases the environment is unstructured, which results in demanding data interpretation and control algorithms. Similarly, the control and decision-making algorithms inevitably become more complex in order to be able to cope with the unstructured and dynamic environment. Consequently a sophisticated evaluation/test environment is required, which provides full control of the circumstances, reproducibility and flexible mix of real and virtual components. The paper presents the runtime architecture of a simulation environment (MARS), which assures scalable real-time performance and a modeling framework, which supports incorporating high fidelity sensor models. The tool is capable of simulating accurate agent interactions in physical environments and creating mixed virtual-real worlds for testing multi-agent systems","","0-7695-2589-X","10.1109/DIS.2006.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1633438","","Multiagent systems;Intelligent robots;Intelligent transportation systems;Mobile robots;Robot sensing systems;Intelligent agent;Intelligent sensors;Decision making;Testing;Reproducibility of results","","3","","16","IEEE","26 Jun 2006","","","IEEE","IEEE Conferences"
"Cognitive Perception in RAFALE-SP Methodology","N. Marilleau; C. Lang; P. Chatonnay; L. Philippe","Laboratoire d'Informatique de, Université de Franche-Comté CNRS FRE 2661, Besancon, France; Laboratoire d'Informatique de, Université de Franche-Comté CNRS FRE 2661, Besancon, France; Laboratoire d'Informatique de, Université de Franche-Comté CNRS FRE 2661, Besancon, France; Laboratoire d'Informatique de, Université de Franche-Comté CNRS FRE 2661, Besancon, France","International Conference on Computational Intelligence for Modelling, Control and Automation and International Conference on Intelligent Agents, Web Technologies and Internet Commerce (CIMCA-IAWTIC'06)","22 May 2006","2005","2","","594","599","Several methodologies based on multi-agent systems (MAS) already exist. They help designers to describe software or to create MAS which aim at solving complex problems by simulations. Due to used formalisms, a methodology may be more or less generic. In this context, we have created a mobility oriented methodology called RAFALE-SP based on multi-agent systems. It helps us to describe mobiles which move on a space. This environment can be a virtual representation of a real space like a town where unpredictable events arise. We apply our methodology to solve problems which come from different research areas. We use it to find answers to geographical problems. The presented methodology begins by a conceptual representation of each mobile type and finishes by a mobility simulator. It uses several formalisms: UML and Ploom-unity. They allow us to define mobiles, their interactions and their environment. According to their knowledge, their behaviour rules, mobiles moves on a space by following few motion types. They get an individual perception of the world. In this paper we focus on mobile perception description","","0-7695-2504-0","10.1109/CIMCA.2005.1631533","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631533","","Computational modeling;Multiagent systems;Software tools;Cities and towns;Analytical models;Software design;Unified modeling language;Context modeling;Application software;Design methodology","","1","","19","IEEE","22 May 2006","","","IEEE","IEEE Conferences"
"Multi-agent Modeling of Biological Data Based on Virtual Reality","I. Hamdi; G. Querrec; I. R. Farah; M. B. Ahmed","Laboratoire RIADI, Campus Universitaire de la Manouba, Manouba, Tunisie; Equipe d'EBV, CERV (Centre Européen de Realité Virtuelle), Plouzane, France; Laboratoire RIADI, Campus Universitaire de la Manouba, Manouba, Tunisie; Laboratoire RIADI, l'Ecole Nationale des Sciences de l'Informatique,Campus Universitaire de la Manouba, 2010 Manouba, Tunisie.",2006 2nd International Conference on Information & Communication Technologies,"16 Oct 2006","2006","2","","3046","3051","Many applications related to various fields indeed require the use of temporal data referred in time. Unfortunately, the practical application of such systems is not achieved without difficulties. Complications of a technical but so conceptual nature generally appear. The spatial and temporal data present fundamental problems with the DBMS, not only because of the considerable size and the constant growth of these data, but also because of the complexity of the geometrical and topological relations between these data. From this, the spatio-temporal modeling represents many difficulties. The main goal of our work is to solve this problem in the biological domain and particularly the spatio-temporal modeling and visualisation of molecular and functional network. In order to do that, we propose a system based on multiagent system with the virtual reality allowing the user to interact with the three-dimensional image objects. As a computer-generated representation of a three-dimensional environment, virtual reality enables the user to view and manipulate the contents of an environment. Virtual reality is often referred to as the technology that gives a user the experience of being immersed in a computer-generated virtual world. Although virtual reality is a very useful application for examining and understanding complex data sets. In this paper, we started by the state of the art of the existing systems for modeling the biological data and their interactions (molecular and functional), then we described the multiagent architecture of the spatio-temporal modeling of molecular and functional interactions based on virtual reality techniques","","0-7803-9521-2","10.1109/ICTTA.2006.1684902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684902","","Biological system modeling;Virtual reality;Biology computing;Genetics;Computer networks;Computational modeling;Cells (biology);Computer simulation;Spatiotemporal phenomena;Bioinformatics","","1","","6","IEEE","16 Oct 2006","","","IEEE","IEEE Conferences"
"JGOMAS: New Approach to AI Teaching","A. Barella; S. Valero; C. Carrascosa","GTI-IA Research Group, Departamento de Sistemas Informáticos y Computación (DSIC), Universidad Politécnica de Valencia, Spain; GTI-IA Research Group, Departamento de Sistemas Informáticos y Computación (DSIC), Universidad Politécnica de Valencia, Spain; GTI-IA Research Group, Departamento de Sistemas Informáticos y Computación (DSIC), Universidad Politécnica de Valencia, Spain",IEEE Transactions on Education,"5 May 2009","2009","52","2","228","235","This paper presents a new environment for teaching practical work in AI subjects. The main purpose of this environment is to make AI techniques more appealing to students and to facilitate the use of the toolkits which are currently widely used in research and development. This new environment has a toolkit for developing and executing agents, called JADE-based game-oriented multiagent system (JGOMAS). The environment also has a dedicated website where students can access different documentation and information and interact with teachers. An actual case study of this environment applied to the practical work component of an advanced AI course is presented.","1557-9638","","10.1109/TE.2008.925764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4696064","Agents;capture the flag;competitions;multiagent system (MAS);virtual environments","Artificial intelligence;Games;Solid modeling;Visualization;Engines;Multiagent systems;Libraries","","18","","44","IEEE","9 Dec 2008","","","IEEE","IEEE Journals"
"Autonomous agents and anticipative systems","M. A. Ramos; F. Ramos","Allees de Brienne, UT1/IRIT, Toulouse, France; CINVESTAV, Guadalajara, Mexico",10th IEEE International Workshop on Object-Oriented Real-Time Dependable Systems,"5 Dec 2005","2005","","","371","377","In this paper we propose an artificial intelligence approach to real time simulation of a virtual community based on a multiagent system. Our approach is based on the work of Holland and Miller (1991), in which the authors propose that the system may be viewed as a complex dynamic adaptive system with a large number of different kinds of agents. In such environment, agents may take their decisions based on the anticipation of the future state of the world (Axelrod, 1997). In this paper, we explore how useful the concept of anticipation can be for real time simulation improving and facilitating decisions of the virtual entities. In this paper, we work with real time anticipative agents and where developed situations, actions, and changes in the world. This normal context in a virtual world is taken as a framework where an agent is able to compare previous learned situations, executed actions and obtained results; with current situations in order to decide which action could lead the agent to a situation with the best utility or satisfaction degree.","2378-573X","0-7695-2347-1","10.1109/WORDS.2005.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1544813","Real time agents;Simulation;Classifier Systems;Anticipatory Systems.","Autonomous agents;Real time systems;Uncertainty;Artificial intelligence;Multiagent systems;Adaptive systems;Humans;Object oriented modeling;Thermal loading;Control systems","","1","","17","IEEE","5 Dec 2005","","","IEEE","IEEE Conferences"
"Tokyo Virtual Living Lab: Designing Smart Cities Based on the 3D Internet","H. Prendinger; K. Gajananan; A. Bayoumy Zaki; A. Fares; R. Molenaar; D. Urbano; H. van Lint; W. Gomaa","National Institute of Informatics, Tokyo; National Institute of Informatics, Tokyo; Egypt-Japan University of Science and Technology; Egypt-Japan University of Science and Technology; Delft University of Technology; National Institute of Informatics, Tokyo; Delft University of Technology; Egypt-Japan University of Science and Technology",IEEE Internet Computing,"12 Dec 2013","2013","17","6","30","38","The Tokyo Virtual Living Lab is an experimental space based on 3D Internet technology that lets researchers conduct controlled driving and travel studies, including those involving multiple users in the same shared space. This shared-use feature is crucial for analyzing interactive driving behaviors in future smart cities. The lab's novelty is two-fold: it outputs a semantically enriched graphical navigation network using free map data as input, and it includes a navigation segment agent that coordinates a multiagent traffic simulator. This simulator, which is based on the navigation network, supports the integration of user-controlled vehicles. The lab's approach can significantly reduce the effort of preparing realistic driving behavior studies. To demonstrate this, the authors built a 3D model of a part of Tokyo to perform experiments with human drivers in two conditions: normal traffic and ubiquitous eco-traffic.","1941-0131","","10.1109/MIC.2013.87","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6582403","human factors;artificial realities;augmented realities;virtual realities;Internet computing;3D Internet","Three dimensional displays;Cities and towns;Road traffic;Navigation;Vehicles;Internet;Smart buildings;Urban areas","","38","","16","IEEE","16 Aug 2013","","","IEEE","IEEE Magazines"
"Format-Store: A Multi-agent Based Approach to Experiential Learning","P. Mathieu; D. Panzoli; S. Picault","Laboratoire d'Informatique Fondamentale (LIFL), University of Lille 1, Villeneuve d'Ascq, France; Laboratoire d'Informatique Fondamentale (LIFL), University of Lille 1, Villeneuve d'Ascq, France; Laboratoire d'Informatique Fondamentale (LIFL), University of Lille 1, Villeneuve d'Ascq, France",2011 Third International Conference on Games and Virtual Worlds for Serious Applications,"28 Jul 2011","2011","","","120","127","FORMAT-STORE is a serious game application designed for training salesmen and managers in the context of a retail store or a larger supermarket. In this paper, we argue that a relevant way to train a salesperson to their daily activities (e.g. customer relationship management, store management and stock control) consists in immersing them in a 3d environment populated with realistic virtual customers. The first part of this paper presents the multi-agent approach we apply to the design of the intelligent customers. Specifically, we analyse the contribution of the interaction-oriented methodology IODA in facilitating the conception of a game for non computer-scientists by means of a user-friendly design tool and the automated implementation of the conceptual model. The second part includes a case study where we present the organisation of the game around scenarios modelled with respect to the pedagogical requirements. We discuss how we intend to engage the learner by carefully adjusting the difficulty of these scenarios.","","978-1-4577-0316-4","10.1109/VS-GAMES.2011.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5962094","","Games;Training;Mathematical model;Marketing and sales;Computational modeling;Context;Multiagent systems","","3","","21","IEEE","28 Jul 2011","","","IEEE","IEEE Conferences"
